product_id,week,units_sold,wishlist_count,cart_total,unique_message_users,prev_units_sold,rolling_3wk_avg_units_sold
1,2026-07-06,12,40,3200,8,10,11.0
1,2026-07-13,14,55,4100,9,12,12.0
1,2026-07-20,11,38,2900,7,14,12.3
1,2026-07-27,16,60,4800,11,11,13.6
1,2026-08-03,18,72,5500,12,16,15.0
1,2026-08-10,20,80,6200,14,18,18.0
2,2026-07-06,8,25,1800,4,7,7.5
2,2026-07-13,9,30,2100,5,8,8.0
2,2026-07-20,7,22,1600,3,9,8.0
2,2026-07-27,10,35,2400,6,7,8.6
2,2026-08-03,12,42,2900,7,10,9.6
2,2026-08-10,13,48,3200,8,12,11.6
3,2026-07-06,5,15,900,2,4,4.5
3,2026-07-13,6,18,1100,3,5,5.0
3,2026-07-20,4,12,700,2,6,5.0
3,2026-07-27,7,20,1300,4,4,5.6
3,2026-08-03,8,24,1500,4,7,6.3
3,2026-08-10,9,28,1700,5,8,8.0
4,2026-07-06,20,90,7000,15,18,19.0
4,2026-07-13,22,95,7600,16,20,20.0
4,2026-07-20,19,85,6900,14,22,20.3
4,2026-07-27,24,100,8200,18,19,21.6
4,2026-08-03,26,110,9000,20,24,23.0
4,2026-08-10,28,120,9800,22,26,26.0
5,2026-07-06,3,10,500,1,2,2.5
5,2026-07-13,4,12,600,2,3,3.0
5,2026-07-20,3,9,450,1,4,3.0
5,2026-07-27,5,14,700,2,3,4.0
5,2026-08-03,6,16,800,3,5,4.6
5,2026-08-10,7,18,950,3,6,6.0
